"class","penumbra","distribution","activity","evolution","flare24.activity","history","sun.disk","area","largest.spot","class_flare"
"C","X","O","2","2","1","2","2","1","1","M"
"E","H","I","2","2","1","1","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"B","A","O","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"C","X","I","1","3","1","2","2","1","1","M"
"C","X","O","2","2","1","2","2","1","1","M"
"C","H","I","2","2","3","2","2","1","1","M"
"E","R","I","1","2","1","1","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"C","A","O","1","3","1","1","2","1","1","M"
"B","H","I","1","2","1","1","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"F","A","C","1","3","1","1","1","1","1","M"
"C","H","I","1","3","1","1","2","1","1","M"
"C","H","O","1","1","1","2","2","1","1","M"
"B","A","O","1","2","1","2","2","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"A","K","O","2","2","1","2","2","1","1","M"
"F","H","C","1","3","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"B","H","O","1","3","1","1","2","1","1","M"
"F","A","C","2","1","1","2","2","1","1","M"
"B","H","I","1","2","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"A","K","O","1","2","1","2","2","1","1","M"
"B","H","I","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"C","X","I","1","3","1","1","2","1","1","M"
"B","H","I","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"B","H","I","2","2","1","2","2","1","1","M"
"B","H","O","1","3","1","1","2","1","1","M"
"B","A","I","1","2","1","2","2","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"C","X","O","1","2","1","1","2","1","1","M"
"D","X","O","1","3","1","1","2","1","1","M"
"F","A","C","1","3","1","1","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"F","H","C","1","1","1","2","2","1","1","M"
"C","H","I","1","2","1","1","2","1","1","M"
"B","H","I","2","3","1","2","2","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"C","X","I","1","2","1","2","2","1","1","M"
"E","H","O","1","3","1","2","2","1","1","M"
"C","X","O","1","2","1","1","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"C","X","O","1","3","1","1","2","1","1","M"
"D","H","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","2","1","1","M"
"B","H","I","1","2","1","1","2","1","1","M"
"F","H","C","1","1","1","1","2","1","1","M"
"B","H","I","1","3","1","2","2","1","1","M"
"E","H","O","1","3","1","2","2","1","1","M"
"C","A","I","1","2","1","2","2","1","1","M"
"C","X","O","2","3","1","2","2","1","1","M"
"C","A","X","2","3","1","1","2","1","1","M"
"F","S","C","1","3","1","1","1","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"F","X","C","1","1","1","2","2","1","1","M"
"E","H","O","2","2","1","2","2","1","1","M"
"A","K","I","1","2","1","2","2","1","1","M"
"C","H","O","1","2","1","2","2","1","1","M"
"D","R","X","2","3","1","2","2","1","1","M"
"A","K","I","1","2","1","1","2","1","1","M"
"B","R","I","1","3","1","2","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"F","A","C","1","3","1","2","2","1","1","M"
"E","A","O","1","2","1","2","2","1","1","M"
"F","H","C","1","1","1","2","2","1","1","M"
"C","X","O","1","3","1","2","2","1","1","M"
"D","S","O","2","3","1","2","2","2","1","M"
"E","R","I","1","2","1","2","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"A","K","I","1","2","1","2","2","1","1","M"
"C","X","O","1","2","1","2","2","1","1","M"
"E","S","O","1","2","1","2","2","1","1","M"
"D","R","I","2","2","1","2","2","1","1","M"
"A","K","O","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"A","K","I","1","1","1","2","2","1","1","M"
"C","H","O","2","2","1","2","2","1","1","M"
"D","S","O","2","2","1","2","2","1","1","M"
"E","R","I","1","3","1","2","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"B","H","I","1","3","1","2","2","1","1","M"
"F","A","C","1","1","1","2","2","1","1","M"
"A","K","O","1","1","1","2","2","1","1","M"
"E","S","O","1","2","1","2","2","1","1","M"
"C","R","O","2","3","1","2","2","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"F","H","C","1","3","1","2","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"F","A","C","1","3","1","2","2","1","1","M"
"F","H","C","1","2","1","2","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"F","A","C","1","3","1","2","2","1","1","M"
"E","X","O","2","3","1","2","2","1","1","M"
"D","R","O","1","3","1","2","2","1","1","M"
"F","H","C","1","3","1","2","2","1","1","M"
"F","A","C","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"E","X","O","2","2","3","2","2","1","1","M"
"D","R","I","2","2","2","2","2","1","1","M"
"F","H","C","1","2","1","2","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"B","H","O","1","3","1","1","2","1","1","M"
"E","X","O","1","2","1","2","2","1","1","M"
"D","R","I","2","2","1","2","2","1","1","M"
"F","H","C","1","3","1","2","2","1","1","M"
"F","A","C","1","3","1","1","2","1","1","M"
"C","H","O","1","3","1","1","2","1","1","M"
"E","X","O","1","2","1","2","2","1","1","M"
"D","X","I","1","2","1","2","2","1","1","M"
"F","H","C","1","3","1","2","2","1","1","M"
"C","H","O","1","3","1","2","2","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"E","X","O","2","2","1","2","2","1","1","M"
"F","H","C","1","3","1","2","2","1","1","M"
"C","X","I","1","3","1","2","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"A","K","I","1","2","1","1","2","1","1","M"
"A","K","I","1","2","1","1","2","1","1","M"
"A","K","O","1","3","1","1","2","1","1","M"
"D","H","I","1","1","1","2","2","1","1","M"
"C","X","O","1","3","1","2","2","1","1","M"
"F","A","C","1","3","1","1","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"F","A","C","2","2","1","2","2","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"C","X","O","1","3","1","2","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"A","K","I","1","2","1","1","2","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"A","K","O","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"F","X","C","1","2","1","1","2","1","1","M"
"B","X","I","1","2","1","2","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"A","K","O","1","3","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","2","1","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"F","X","C","1","3","1","1","2","1","1","M"
"D","X","I","1","3","1","2","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"F","H","C","1","3","1","1","2","1","1","M"
"B","X","I","1","2","1","2","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"F","A","C","1","1","1","1","2","1","1","M"
"F","H","C","1","1","1","1","2","1","1","M"
"B","H","O","1","3","1","1","2","1","1","M"
"F","X","C","1","3","1","2","1","1","1","M"
"A","K","O","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"A","K","I","2","2","1","2","2","1","1","M"
"B","H","I","1","2","1","1","2","1","1","M"
"B","X","I","1","3","1","2","2","1","1","M"
"A","K","I","2","2","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"B","H","I","2","2","1","1","2","1","1","M"
"F","X","C","1","2","1","2","2","1","1","M"
"A","K","I","1","1","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"F","X","C","1","2","1","2","2","1","1","M"
"F","R","C","1","3","1","1","2","1","1","M"
"A","K","I","1","1","1","1","2","1","1","M"
"F","A","C","1","1","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"F","X","C","1","3","1","2","2","1","1","M"
"F","R","C","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"A","K","I","1","1","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"B","H","I","2","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"B","H","I","1","2","1","1","2","1","1","M"
"A","K","I","1","2","1","2","2","1","1","M"
"F","H","C","1","3","1","1","2","1","1","M"
"B","H","I","2","3","1","1","2","1","1","M"
"A","K","I","2","3","1","1","2","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"A","K","I","1","2","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"F","X","C","1","3","1","1","1","1","1","M"
"F","X","C","1","3","1","1","1","1","1","M"
"F","X","C","1","2","1","1","1","1","1","M"
"F","X","C","1","2","1","1","1","1","1","M"
"F","H","C","1","3","1","1","2","1","1","M"
"C","X","O","1","3","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"C","A","I","1","2","1","1","2","1","1","M"
"B","X","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"F","H","C","1","3","1","1","2","1","1","M"
"C","X","O","1","3","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"C","A","I","1","3","1","1","2","1","1","M"
"B","X","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"C","R","I","1","3","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"B","A","I","2","2","1","1","2","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"E","X","O","1","3","1","1","2","1","1","M"
"D","H","I","1","2","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"C","A","I","1","2","1","1","2","1","1","M"
"B","H","I","2","2","3","2","2","1","1","M"
"F","H","C","1","1","1","1","2","1","1","M"
"C","H","I","1","1","1","1","2","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"C","X","O","2","3","1","1","2","1","1","M"
"B","X","I","1","3","1","2","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"F","H","C","1","1","2","2","2","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"C","S","O","2","3","1","2","2","1","1","M"
"D","X","O","1","3","1","2","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","1","2","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"F","H","C","1","3","1","2","2","1","1","M"
"B","H","I","1","2","1","1","2","1","1","M"
"B","H","I","1","2","1","1","2","1","1","M"
"C","S","O","2","3","1","2","2","1","1","M"
"D","X","O","1","2","1","2","2","1","1","M"
"F","H","C","1","3","1","2","1","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"A","K","I","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"F","A","C","1","1","1","1","2","1","1","M"
"F","H","C","1","2","1","2","2","1","1","M"
"F","H","C","1","1","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"C","X","O","2","2","1","2","2","1","1","M"
"C","H","O","2","3","1","2","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"C","A","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"F","H","C","1","1","1","1","2","1","1","M"
"C","H","I","1","2","1","2","2","1","1","M"
"C","H","I","1","2","1","2","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"C","H","I","1","3","1","1","2","1","1","M"
"D","H","I","2","3","3","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"C","S","O","2","2","1","2","2","1","1","M"
"B","H","I","1","2","1","2","2","1","1","M"
"F","H","C","1","3","1","2","1","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"C","X","O","1","3","1","1","2","1","1","M"
"B","H","I","2","2","2","1","2","1","1","M"
"C","A","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"F","H","C","1","3","1","1","2","1","1","M"
"C","S","O","2","2","1","2","2","1","1","M"
"B","H","I","1","2","1","2","2","1","1","M"
"F","H","C","1","3","1","2","1","1","1","M"
"A","K","I","1","1","1","1","2","1","1","M"
"C","X","O","1","3","1","2","2","1","1","M"
"B","H","I","1","2","1","1","2","1","1","M"
"C","A","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"B","H","I","1","1","1","2","2","1","1","M"
"F","H","C","1","3","1","2","1","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"D","X","X","2","2","1","2","2","1","1","M"
"C","X","O","1","3","1","1","2","1","1","M"
"C","X","O","1","3","1","1","2","1","1","M"
"D","H","O","1","3","1","1","2","1","1","M"
"C","H","O","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"B","X","I","2","2","3","2","2","1","1","M"
"B","H","I","1","3","1","2","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"F","A","C","1","3","1","1","2","1","1","M"
"D","X","O","1","2","1","2","2","1","1","M"
"C","S","O","1","3","1","2","2","1","1","M"
"C","X","I","1","3","1","2","2","1","1","M"
"D","S","O","1","3","1","2","2","2","1","M"
"C","S","O","1","3","1","2","2","1","1","M"
"F","A","C","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"B","X","I","1","2","1","2","2","1","1","M"
"B","H","I","1","2","1","2","2","1","1","M"
"F","H","C","1","3","1","2","1","1","1","M"
"C","S","O","2","2","1","2","2","1","1","M"
"A","K","I","1","2","1","2","2","1","1","M"
"D","S","O","1","2","1","2","2","1","1","M"
"C","S","O","1","3","1","2","2","1","1","M"
"F","A","C","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"F","H","C","1","1","1","2","2","1","1","M"
"F","H","C","1","3","1","2","1","1","1","M"
"C","X","O","1","2","1","2","2","1","1","M"
"D","S","X","2","3","1","2","2","2","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"C","X","O","1","2","1","2","2","1","1","M"
"D","S","X","2","2","3","2","2","2","1","M"
"E","S","X","1","3","1","2","2","2","1","M"
"B","H","O","1","2","1","1","2","1","1","M"
"F","H","C","1","3","1","1","2","1","1","M"
"C","X","O","1","3","1","1","2","1","1","M"
"C","H","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"C","H","I","1","1","1","2","2","1","1","M"
"D","S","X","2","3","3","2","2","2","1","M"
"E","S","O","1","2","1","2","2","2","1","M"
"B","A","O","1","2","1","1","2","1","1","M"
"A","H","I","1","3","1","1","2","1","1","M"
"C","X","I","1","3","1","2","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"F","H","C","2","2","1","2","2","1","1","M"
"D","S","O","1","3","1","2","2","2","1","M"
"D","S","X","2","2","3","2","2","2","1","M"
"A","H","I","1","2","1","1","2","1","1","M"
"D","X","O","1","3","1","2","2","1","1","M"
"C","A","O","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","2","2","1","1","M"
"D","S","X","2","2","2","2","2","2","1","M"
"D","X","O","1","2","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"D","X","I","2","2","1","2","2","1","1","M"
"C","A","O","1","3","1","2","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"F","A","C","1","3","1","1","2","1","1","M"
"C","H","I","1","3","1","1","2","1","1","M"
"F","A","C","1","2","1","1","1","1","1","M"
"D","S","X","2","2","2","2","2","2","1","M"
"E","H","O","2","2","1","2","2","1","1","M"
"C","H","O","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","1","2","1","1","M"
"C","H","I","1","3","1","2","2","1","1","M"
"C","X","O","1","2","1","2","2","1","1","M"
"F","X","C","1","3","1","1","1","1","1","M"
"C","H","I","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","2","1","1","1","M"
"E","X","O","2","2","1","2","2","1","1","M"
"B","H","I","1","2","1","2","2","1","1","M"
"C","X","O","1","2","1","2","2","1","1","M"
"F","X","C","1","2","1","1","1","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"C","X","I","1","3","1","1","2","1","1","M"
"C","R","I","1","3","1","2","2","1","1","M"
"D","S","X","2","2","1","2","2","1","1","M"
"E","X","O","1","2","1","2","2","1","1","M"
"B","H","I","1","2","1","2","2","1","1","M"
"F","X","C","1","2","1","1","1","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"C","X","I","1","2","1","1","2","1","1","M"
"C","R","I","1","3","1","2","2","1","1","M"
"C","H","I","1","3","1","1","2","1","1","M"
"F","H","C","1","1","1","2","2","1","1","M"
"E","H","O","1","3","1","2","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"A","K","O","1","2","1","1","2","1","1","M"
"C","R","I","1","2","1","2","2","1","1","M"
"C","A","I","1","3","1","1","2","1","1","M"
"C","X","O","2","3","2","1","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"B","A","I","1","2","1","1","2","1","1","M"
"C","R","I","1","2","1","2","2","1","1","M"
"B","H","I","1","2","1","1","2","1","1","M"
"D","X","O","1","2","1","2","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"C","H","I","1","3","1","2","2","1","1","M"
"A","K","I","1","1","1","1","2","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"F","H","C","1","3","1","1","1","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"C","R","I","1","3","1","2","2","1","1","M"
"D","X","O","2","2","1","2","2","1","1","M"
"C","H","I","1","3","1","1","2","1","1","M"
"F","H","C","1","1","1","1","1","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"C","H","I","1","2","1","2","2","1","1","M"
"F","H","C","1","2","2","2","2","1","1","M"
"F","H","C","2","2","1","1","2","1","1","M"
"C","A","I","1","3","1","1","2","1","1","M"
"F","H","C","1","2","1","1","1","1","1","M"
"F","H","C","2","2","1","1","2","1","1","M"
"B","H","I","1","2","1","2","2","1","1","M"
"F","A","C","1","2","1","1","2","1","1","M"
"A","K","I","1","1","1","1","2","1","1","M"
"F","X","C","1","3","1","1","1","1","1","X"
"C","A","I","1","3","1","1","2","1","1","X"
"B","H","I","1","3","1","1","2","1","1","X"
"F","A","C","1","2","1","1","1","1","1","X"
"F","H","C","1","1","1","1","2","1","1","X"
"B","X","I","1","2","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"B","X","I","1","3","1","1","2","1","1","X"
"B","X","I","1","2","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"B","X","I","1","2","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"A","K","O","1","2","1","1","2","1","1","X"
"B","H","I","2","2","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"A","K","I","1","2","1","1","2","1","1","X"
"C","A","O","1","3","1","1","2","1","1","X"
"F","H","C","1","3","1","1","2","1","1","X"
"A","K","I","1","2","1","1","2","1","1","X"
"A","K","I","1","2","1","2","2","1","1","X"
"F","H","C","1","2","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"A","K","I","2","2","1","2","2","1","1","X"
"B","A","I","1","3","1","1","2","1","1","X"
"A","K","I","1","2","1","2","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"C","X","O","2","3","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"C","A","I","1","3","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"A","K","I","1","1","1","2","2","1","1","X"
"A","K","I","1","1","1","1","2","1","1","X"
"B","A","O","2","1","1","2","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"C","A","O","1","3","1","2","2","1","1","X"
"A","K","I","1","2","1","1","2","1","1","X"
"B","A","I","1","3","1","1","2","1","1","X"
"D","X","X","1","3","1","1","2","1","1","X"
"F","X","C","1","2","1","1","1","1","1","X"
"A","K","I","1","2","1","2","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"A","K","I","1","2","1","1","2","1","1","X"
"C","S","O","2","3","1","2","2","1","1","X"
"D","X","O","2","2","1","1","2","1","1","X"
"C","X","O","1","3","1","2","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"F","A","C","1","2","1","1","2","1","1","X"
"B","A","I","1","2","1","1","2","1","1","X"
"C","X","I","2","3","3","2","2","1","1","X"
"D","H","I","2","3","1","2","2","1","1","X"
"B","A","I","1","3","1","1","2","1","1","X"
"D","H","O","2","3","1","2","2","1","1","X"
"B","A","I","1","3","1","1","2","1","1","X"
"C","X","O","2","3","1","2","2","1","1","X"
"D","X","O","2","3","1","2","2","1","1","X"
"F","H","C","1","3","1","1","1","1","1","X"
"C","X","I","1","3","1","1","2","1","1","X"
"C","A","I","1","3","1","1","2","1","1","X"
"C","H","I","1","3","1","2","2","1","1","X"
"A","K","I","1","2","1","1","2","1","1","X"
"C","X","O","2","2","1","2","2","1","1","X"
"D","X","O","2","3","3","2","2","1","1","X"
"F","H","C","1","1","1","1","1","1","1","X"
"C","H","O","2","3","1","1","2","1","1","X"
"C","H","I","2","3","2","1","2","1","1","X"
"C","A","I","1","3","1","1","2","1","1","X"
"C","H","I","1","3","1","2","2","1","1","X"
"C","H","I","1","3","1","1","2","1","1","X"
"C","H","I","1","2","1","2","2","1","1","X"
"D","S","X","2","3","3","2","2","2","1","X"
"F","A","C","1","3","1","1","1","1","1","X"
"C","X","I","1","2","1","2","2","1","1","X"
"B","H","O","1","3","1","1","2","1","1","X"
"B","H","I","1","2","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"C","H","I","1","2","1","2","2","1","1","X"
"C","X","O","1","3","1","1","2","1","1","X"
"C","H","I","1","2","1","2","2","1","1","X"
"E","S","X","2","3","1","2","2","2","1","X"
"C","X","O","1","3","1","2","2","1","1","X"
"B","A","I","1","2","1","1","2","1","1","X"
"B","A","I","1","3","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"C","H","I","1","2","1","2","2","1","1","X"
"F","X","C","1","2","1","2","2","1","1","X"
"C","X","I","1","3","1","2","2","1","1","X"
"E","S","X","2","2","1","2","2","1","1","X"
"C","H","O","2","2","1","2","2","1","1","X"
"A","K","I","1","2","1","1","2","1","1","X"
"B","A","I","1","3","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"C","H","I","1","2","1","1","2","1","1","X"
"F","A","C","1","2","1","2","2","1","1","X"
"F","X","C","1","2","1","2","2","1","1","X"
"B","H","I","1","2","1","2","2","1","1","X"
"E","X","O","1","2","1","2","2","2","1","X"
"C","H","I","1","2","1","2","2","1","1","X"
"B","A","I","1","2","1","1","2","1","1","X"
"C","X","X","2","3","1","1","2","1","1","X"
"A","K","I","1","1","1","1","2","1","1","X"
"D","X","O","2","3","1","1","2","1","1","X"
"F","X","C","1","2","1","2","2","1","1","X"
"B","H","I","1","3","1","2","2","1","1","X"
"E","X","X","2","3","1","2","2","2","1","X"
"C","H","I","1","2","1","2","2","1","1","X"
"C","X","O","2","3","1","2","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"D","X","O","2","3","1","2","2","1","1","X"
"C","H","I","2","3","1","2","2","1","1","X"
"E","X","O","2","2","1","2","2","1","1","X"
"F","H","C","1","1","1","2","2","1","1","X"
"C","X","O","2","2","1","2","2","1","1","X"
"A","K","I","1","2","1","1","2","1","1","X"
"D","H","O","2","2","1","2","2","1","1","X"
"F","H","C","1","2","1","1","1","1","1","X"
"E","X","X","2","2","1","2","2","1","1","X"
"F","H","C","1","2","1","2","2","1","1","X"
"D","X","I","1","2","1","2","2","1","1","X"
"D","X","O","1","2","1","2","2","1","1","X"
"A","K","I","1","3","1","1","2","1","1","X"
"B","H","I","1","3","1","1","2","1","1","X"
"F","H","C","1","2","1","2","2","1","1","X"
"E","X","O","2","2","1","2","2","1","1","X"
"D","X","I","1","2","1","2","2","1","1","X"
"D","H","O","1","2","1","2","2","1","1","X"
"D","X","I","1","3","1","1","2","1","1","X"
"F","H","C","1","2","1","1","1","1","1","X"
"D","H","I","1","1","1","2","2","1","1","X"
